source,target
舟山骏华水产有限公司,上海龙辉餐饮管理有限公司七莘路店,8.0
上海紫燕食品有限公司,上海市长宁区川乐鸡店,4.0
上海清美绿色食品有限公司,信实生鲜加盟,17.0
益海嘉里食品营销有限公司,上海肯德基有限公司泓鑫餐厅,2.0
上海清美绿色食品有限公司,艺杏旭洋清美NO.105A加盟预付,6.0
上海行怡食品贸易有限公司,江达贸易,100.0
贵州金沙冠香坊调料食品公司,上海金文食品有限公司,1.0
昆山市天环润得丰食品经营部,上海浦众农贸市场经营管理有限公司,1.0
北大荒绿洲米业有限公司,上海第一食品杨浦销售有限公司,2.0
上海旭洋绿色食品有限公司,陈付先(原三合一菜场),23.0
上海市长宁区敏华水果店,上海华申中外文化交流服务有限公司,30.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司松江万达餐厅,23.0
上海品星贸易有限公司,上海贝馨贸易有限公司,4.0
上海余胜糖业有限公司,上海德丰食品工业有限公司,17.0
临沂新程金锣肉制品集团有限公司,上海君航大酒店有限公司,93.0
上海温克华食品,上海日生食品物流有限公司,1.0
