source,target
上海市嘉定区南翔镇南华路,上海街坊土菜馆,27.0
山东省莒南龙大肉食品有限公司,上海翼通菜市场经营管理有限公司,19.0
苏州肉食品市场众志食品经营部,上海艾米餐饮有限公司,1.0
上海清美绿色食品有限公司,锦秋生鲜加盟（预付）,31.0
上海正顶记贸易有限公司,泰州市海陵区味乐进口食品贸易有限公司,18.0
烟台阿克力食品有限公司,上海日生食品物流有限公司,1.0
上海振新禽鸽养殖有限公司,浦江饭店,29.0
耿志双肉类销售经营部,上海爱辉农副产品市场经营管理有限公司,29.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司恒达商业广场餐厅,9.0
上海清美绿色食品有限公司,东辉店经销(金杨区域),11.0
上海市闵行区杨广永粮油制品店,上海志得餐饮管理有限公司,10.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司茂名餐厅,34.0
升虹工贸有限公司,上海浦众农贸市场经营管理有限公司,2.0
益海嘉里食品营销有限公司,联华超市股份有限公司,1105.0
上海艺杏食品有限公司,罗经市场(徐珍),31.0
石光商贸（上海）有限公司,上海巨匠咖啡食品有限公司,1.0
上海椰椰食品有限公司,山东德州永嘉（张晶）,9.0
上海市松江区泗泾镇沪松公路2101号国际食品城S1区1号,上海惠多超市有限公司,294.0
上海洪场电子商务有限公司,上海辉哥海鲜火锅餐饮有限公司桃江路店,1.0
上海市徐汇区千林家禽经营部,上海白玉兰饮食有限公司酒家,107.0
上海爱凡食品有限公司,老蔡汤包馆,19.0
上海暹罗实业有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,59.0
上海龙上农副产品批发市场经营管理有限公司,拉面店,1.0
上海艾米餐饮有限公司,海莎纺织辅料（上海）有限公司,96.0
濉溪县鲁王制粉有限责任公司,上海越哲食品有限公司,3.0
上海玉峰食品有限公司（朱玉峰）,上海龙辉餐饮管理有限公司虹口龙之梦店,21.0
米管家(上海)米业有限公司,上海行广贸易有限公司,7.0
益海嘉里食品营销有限公司,上海肯德基有限公司柳州路餐厅,2.0
上海汉康豆类食品有限公司,上海必胜客有限公司国权路店,15.0
北京玉中都科技开发中心,上海龙辉餐饮管理有限公司五角场店,19.0
上海森蜂园蜂业有限公司,B上海肇家浜路汇金内场店,12.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司日月光广场店,4.0
上海清美绿色食品有限公司,上海真北副食品管理有限公司（预付）,7.0
上海清美绿色食品有限公司,上海联家超市有限公司友谊南方商城店,49.0
上海越哲食品有限公司,宁波-俞建波,1.0
江苏金坛市宇琪食品科技有限公司,上海欣晨豆业有限公司,62.0
上海清美绿色食品有限公司,罗秀93(伍缘折扣超市),32.0
雀巢（中国）有限公司酿造,上海金文食品有限公司,1.0
上海美合蔬菜种植专业合作社,上海山林食品有限公司,27.0
上海泉发食品有限公司,苏州鸿澎食品,63.0
上海神笛贸易有限公司,上海客祥超市有限公司,7.0
上海垣胜农产品公司,上海九龙宾馆有限公司,31.0
广西桂林云峰食品有限公司,锦江麦德龙现购自运有限公司,1.0
上海乐购物流有限公司闵行分公司,上海松江乐购生活购物有限公司,128.0
南京雨润生鲜食品有限公司,上海盛桥农贸市场经营管理有限公司,1686.0
上海台缘食品有限公司分公司,联华超市股份有限公司,108.0
上海清美绿色食品有限公司,鲁汇（家得利）,27.0
上海闵行华漕诸闵杂货店,上海市闵行区九度香餐饮店,30.0
上海旭洋绿色食品有限公司,易初 上南店,29.0
上海蜀蕴供应链有限公司,上海新白鹿餐饮有限公司,44.0
鹤峰县又一春粽叶加工厂,上海龙辉餐饮管理有限公司宁国路店,4.0
魏都农业发展有限公司,上海欧尚超市有限公司,39.0
华润五丰米业(中国)有限公司,上海新欧尚超市有限公司嘉定店,28.0
上海鄂初贸易有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,1.0
上海花冠营养乳品有限公司,宁陵县超级宝贝孕婴店,6.0
上海适达餐饮管理有限公司冰淇淋加工厂,北蔡,15.0
上海沸凌商贸有限公司,特易购乐购（中国）投资有限公司嘉善分公司,1.0
领先食品（上海）发展有限公司,味之鲜-北京,25.0
上海双汇大昌有限公司上海分公司,郑州市金水区双汇冷鲜肉店顺河东街店,4.0
北京携同达食品有限公司,上海萨莉亚餐饮有限公司大渡河路店,39.0
