source,target
上海清美绿色食品有限公司,崔红梅（下沙）加盟超市 预付,1.0
上海清美绿色食品有限公司,鲜德宝同济大学店（单位加盟）,2.0
上海德丰食品工业有限公司,厦门席裕,3.0
上海花冠营养乳品有限公司,徐州铜山区博士蛙母婴生活馆,12.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司南站精选餐厅,1.0
上海清美绿色食品有限公司,一心玛特超市上南路加盟,2.0
常熟市宏新淀粉有限公司,上海七宝商城综合市场经营管理有限公司,4.0
益海嘉里食品营销有限公司,上海金鼎农贸市场经营管理有限公司,4.0
上海旭洋绿色食品有限公司,家乐福徐泾专卖,1.0
上海好客农业科技发展有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,38.0
上海东辉食品有限公司,沃尔玛顾村店,9.0
上海艺杏食品有限公司,来必堡餐饮有限公司（昌平店）,2.0
上海嘉果食品有限公司,上海第一食品连锁发展有限公司上海第一食品商店,8.0
上海金文食品有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,3.0
上海清美绿色食品有限公司,百色14(农工商),3.0
上海艺杏食品有限公司,常客隆星光天地店,2.0
上海旭洋绿色食品有限公司,西区综合市场,4.0
上海信韩食品有限公司,上海优超餐饮有限公司,120.0
上海艺杏食品有限公司,万有全（康瞿所）,1.0
上海艺杏食品有限公司,上海江南春经贸有限公司,4.0
上海花冠营养乳品有限公司,周口项城王老虎奶粉专卖,2.0
上海易初莲花连锁超市有限公司,益海嘉里食品营销有限公司,3.0
南京恒都食品有限公司,锦江麦德龙现购自运有限公司普陀商场,46.0
浙江衢州市民心食品有限公司,上海天馨集贸市场经营管理有限公司,1.0
狮子食品有限公司,上海日生食品物流有限公司,1.0
上海力德尔食品有限公司,生鲜荟,4.0
泰森华东食品发展有限公司,上海联家超市有限公司宜山店,12.0
上海力德尔食品有限公司,易买得2号,4.0
上海旭洋绿色食品有限公司,大润发  杨浦,2.0
上海万有全豆制品有限公司奉贤分公司,江南菜场（何鸿英）,3.0
上海避风塘食品有限公司,上海龙辉餐饮管理有限公司新松江路店,1.0
上海汉康豆类食品有限公司,12.上海锦诚食用农产品有限公司,3.0
上海旭洋绿色食品有限公司,农工商118专卖,3.0
上海良友海狮油脂实业有限公司,上海韵雯贸易有限公司,2.0
锦江麦德龙现购自运有限公司青浦商场,克鲁勃润滑产品（上海）有限公司,7.0
湖南湘佳牧业股份有限公司,上海泗泾大润发商贸有限公司,6.0
上海赛峰食品有限公司,上海申韵餐饮管理有限公司,3.0
上海中盐嘉青盐业有限公司,上海琦潘食品有限公司,2.0
上海汉康豆类食品有限公司,12.三角地梧州市场,3.0
舟山市普陀华兴水产有限公司,甄味（上海）国际贸易有限公司,1.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司柳州路店,4.0
上海弘鼎食品有限公司,上海领鑫商贸有限公司,114.0
上海美合蔬菜种植专业合作社,上海山林食品有限公司,3.0
上海农产品中心批发市场,长桥菜市场,42.0
庄怡农业发展有限公司,锦江麦德龙现购自运有限公司闵行商场,1.0
上海强丰果蔬种植专业合作社,金山区金一东路439号食堂,4.0
雅培贸易(上海)有限公司,上海莲源物流有限公司望园路分公司,1.0
上海市普陀区红波水产行,上海古意餐饮管理有限公司静安分公司,2.0
上海润阳商贸有限公司,上海市金山区祥亿餐饮厅,9.0
力江冻品,上海市闵行区九度香餐饮店,24.0
上海市闵行区连斌蔬菜经营部,上海顺昕餐饮管理有限公司,30.0
上海清美绿色食品有限公司,双禾超市加盟,4.0
