source,target
上海唐人神肉制品有限公司,高校餐饮东华二楼,2.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司环城餐厅,4.0
上海康华粮食批发经营部,上海呼玛商品交易市场经营管理有限公司,24.0
上海御厨食品有限公司,上海七宝商城综合市场经营管理有限公司,215.0
上海子涵食品农产品有限公司,克鲁勃润滑产品（上海）有限公司,387.0
良品（上海）供应链服务有限公司,上海怀乾贸易有限公司,1.0
哈尔滨银丰速冻肉制品厂,上海澳犇国际贸易有限公司,1.0
上海圣华副食品有限公司,上海朋联超市有限公司,40.0
上海振新禽鸽养殖有限公司,上海悦翠贸易有限公司叶翠酒家,103.0
上海鑫程食品有限公司,上海佳有食品销售有限公司,44.0
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司共江店,13.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司汇宝餐厅,5.0
上海百事可乐饮料有限公司,和民餐饮管理（上海）有限公司月星环球商业中心店,6.0
上海汉康豆类食品有限公司,上海福贝食品有限公司,26.0
上海多利农业发展有限公司,上海国家会计学院,1128.0
上海花冠营养乳品有限公司,焦作济源市爱儿健孕婴商行,6.0
上海葵恩果品有限公司,上海家得利超市有限公司马桥店,3.0
上海佳农食品有限公司,沃尔玛顾村店,42.0
上海铜川水产市场经营管理有限公司,上海华丰副食品商场,56.0
上海汉康豆类食品有限公司,华联吉买盛江湾店22,20.0
