source,target
上海阳洋豆业食品有限公司,广中五村37号,30.0
Z5NY-上海叮叮食品有限公司,上海联家超市有限公司万达店,1.0
莱阳俊杰,锦江麦德龙现购自运有限公司闵行商场,2.0
甄味（上海）国际贸易 
有限公司,北京泰美味国际贸易有限公司,1.0
上海阳洋豆业食品有限公司,永年路（汉康配送）小张,26.0
上海青莲食品股份有限公司,上海绿杨村酒家股份有限公司绿杨村江宁酒家,7.0
上海旭洋绿色食品有限公司,迪亚天天 殷高店,13.0
上海万有全豆制品有限公司奉贤分公司,上海市大境初级中学B2-1009,1.0
上海杰迪农产品销售有限公司,上海斗牛士餐饮管理有限公司普陀店,54.0
上海艺杏食品有限公司,常客隆(淼泉店),30.0
上海万有全豆制品有限公司奉贤分公司,卓多姿（索迪斯）,10.0
上海汉康豆类食品有限公司,宅太生鲜连锁,25.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司新宜街餐厅,10.0
上海艺杏食品有限公司,常客隆(滨江店),30.0
中山市众鲜原食品有限公司,上海古韵老街坊餐饮有限公司,1.0
上海嫩原粮油批发市场,上海阳普菜市场经营管理有限公司长岭路分公司,12.0
益海（盐城）粮油工业有限公司,上海京家粮油有限公司,1.0
上海阳洋豆业食品有限公司,龙山（张小宝）,29.0
上海汉康豆类食品有限公司,联华友谊店,29.0
上海同顺食品科技发展股份有限公司,上海行怡食品贸易有限公司,1.0
上海苏食肉品销售有限公司,0455仙霞优客专卖,9.0
上海双汇大昌有限公司上海分公司,宁波市金太阳食品有限公司,98.0
Z8WD-上海圣华副食品有限公司,上海联家超市有限公司武宁店,1.0
上海艺杏食品有限公司,常客隆(任阳店),1.0
上海汉康豆类食品有限公司,上海联家超市有限公司万里店,10.0
上海力德尔食品有限公司,泰山305号,64.0
上海冯达豆类食品有限公司,张军义平价菜店,26.0
Z7RB-宁德市齐心水产专业合作社,上海联家超市有限公司新里城店,1.0
上海京家粮油有限公司,上海金源综合市场经营管理有限公司张堰东风市场分公司,2.0
安吉祖名豆制食品有限公司,上海易买得超市有限公司老西门店,11.0
广州奥桑味精食品有限公司,上海普陀沪村副食品商场,1.0
上海万有全豆制品有限公司奉贤分公司,西渡小学（绿引）,2.0
Z9DD-上海思迅商贸有限公司,上海联家超市有限公司金桥店,1.0
内蒙古伊利实业集团股份有限公司,上海好呀商贸有限公司凌云分公司,1.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司奉贤南桥路店,7.0
上海梅林正广和有限公司,上海鑫禾餐饮配送有限公司,1.0
上海汉康豆类食品有限公司,联华卫清店,15.0
帝门食品（厦门）有限公司,上海樟鸿贸易有限公司,1.0
上海双汇大昌有限公司上海分公司,义乌市恒发副食有限公司,74.0
上海市浦东新区北蔡镇万鑫,上海浦东新区民办明辉小学,1.0
上海阳洋豆业食品有限公司,三合一菜场-张小宝47号,7.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司金科餐厅,7.0
上海汉康豆类食品有限公司,12.三角地梧州市场,28.0
上海力德尔食品有限公司,华曹,87.0
上海力德尔食品有限公司,实幼菊园部总部,3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司芷江餐厅,7.0
中山市港口镇永隆糖果有限公司,上海金文食品有限公司,1.0
上海紫燕食品有限公司,上海市浦东新区塘桥街道小容熟食店,3.0
上海市闵行区谭友副食品经营部,上海漕虹湘鄂情餐饮管理有限公司,21.0
